???Apple Inc (AAPL) Historical Prices,,,,,
Date,Open,High,Low,Close,Volume
06/01/2018,167.88,190.37,160.63,190.24,29898121
03/30/2018,169.23,183.5,150.24,167.78,27936860
12/29/2017,154.26,177.2,152.46,169.23,25975599
09/29/2017,144.88,164.94,142.41,154.12,27485338
06/30/2017,143.71,156.65,140.06,144.02,26229445
03/31/2017,115.82,144.5,114.76,143.66,26225977
12/30/2016,112.71,118.69,104.08,115.82,31114558
09/30/2016,95.49,116.18,94.37,113.05,34654261
06/30/2016,108.78,112.39,89.47,95.6,39091622
03/31/2016,105.26,110.42,92.39,108.99,43481203
12/31/2015,109.07,123.82,104.82,105.26,42588712
09/30/2015,126.9,132.97,92,110.3,58455015
06/30/2015,124.82,134.54,123.1,125.43,43499773
03/31/2015,110.38,133.6,104.63,124.43,55720683
12/31/2014,100.59,119.75,95.18,110.38,49395722
09/30/2014,93.56,103.74,92.57,100.75,52985307
06/30/2014,76.84,95.05,73.05,92.93,65039464
03/31/2014,80.15,80.15,70.51,76.68,76691082
12/31/2013,68.35,82.16,68.33,80.15,76052544
09/30/2013,57.56,73.39,57.32,68.11,88860552
06/28/2013,63.14,66.54,55.01,56.65,103926164
03/29/2013,76.02,79.29,59.86,63.24,124250015
12/31/2012,95.93,96.68,71.6,76.02,140838350
09/28/2012,83.53,100.72,81.43,95.3,101545816
06/29/2012,85.99,92,74.6,83.43,133661147
03/30/2012,57.86,88.78,57.86,85.65,128773816
12/30/2011,54.34,60.96,50.61,57.86,109723747
09/30/2011,47.99,60.41,47.74,54.47,150362809
06/30/2011,50.16,50.73,44.36,47.95,100419637
03/31/2011,46.56,52.13,46.41,49.79,125528142
12/31/2010,40.91,46.67,39.68,46.08,113045814
09/30/2010,36.3,42.1,33.65,40.54,145590157
06/30/2010,33.95,39.86,28.46,35.93,185611441
03/31/2010,30.5,33.93,27.18,33.57,155047922
12/31/2009,26.5,30.56,25.81,30.1,128211907
09/30/2009,20.5,26.99,19.2,26.48,111916804
06/30/2009,14.87,20.91,14.84,20.35,132638224
03/31/2009,12.27,15.71,11.17,15.02,187022520
12/31/2008,15.99,16.63,11.31,12.19,333124398
09/30/2008,23.46,25.84,14.37,16.24,221280908
06/30/2008,20.9,27.46,20.52,23.92,235360071
03/31/2008,28.47,28.61,16.49,20.5,331149437
12/31/2007,22.09,28.99,21.52,28.3,258918554
09/28/2007,17.29,22.14,15.95,21.92,272975070
06/29/2007,13.45,18.23,12.8,17.43,203356998
03/30/2007,12.33,13.97,11.7,13.27,230029029
12/29/2006,10.73,13.31,10.37,12.12,169010818
09/29/2006,8.22,11.11,7.18,11,175794147
06/30/2006,9.1,10.54,7.92,8.18,203349396
03/31/2006,10.34,12.34,8.24,8.96,233519328
12/30/2005,7.74,10.78,6.84,10.27,175401358
09/30/2005,5.26,7.79,5.18,7.66,122656550
06/30/2005,6.01,6.35,4.73,5.26,168650592
03/31/2005,4.63,6.49,4.47,5.95,247871847
12/31/2004,2.79,4.97,2.69,4.6,189370976
09/30/2004,2.29,2.81,2.05,2.77,97108790
06/30/2004,1.92,2.44,1.82,2.32,88657035
03/31/2004,1.54,2.01,1.51,1.93,96504054
12/31/2003,1.48,1.79,1.38,1.53,67614544
09/30/2003,1.35,1.67,1.32,1.48,57431868
06/30/2003,1.01,1.41,0.91,1.36,96894676
03/31/2003,1.03,1.1,0.97,1.01,57386315
12/31/2002,1.04,1.24,0.95,1.02,61095567
09/30/2002,1.04,1.09,1.01,1.04,66900700
09/20/2002,1.04,1.07,1.04,1.06,???
