Foxconn Technology Co Ltd (2354) Historical Prices
Date,Open,High,Low,Close,Volume
06/01/2018,79.80,80.10,71.60,74.70,"2,707,583"
03/30/2018,85.20,88.70,76.00,80.00,"3,442,512"
12/29/2017,88.60,96.60,81.10,85.20,"5,904,537"
09/29/2017,92.00,102.00,85.90,87.50,"8,277,124"
06/30/2017,92.50,96.50,83.00,91.80,"6,220,318"
03/31/2017,85.30,97.80,83.80,92.50,"3,456,955"
12/30/2016,92.90,96.90,80.70,85.30,"4,171,424"
09/30/2016,74.75,92.50,72.28,92.20,"4,821,702"
06/30/2016,71.68,75.35,61.98,74.65,"4,560,395"
03/31/2016,68.91,73.17,56.63,71.49,"6,632,919"
12/31/2015,94.06,97.33,65.64,68.91,"8,247,570"
09/30/2015,110.28,119.11,81.07,93.27,"8,279,856"
06/30/2015,82.84,111.75,82.44,109.79,"9,602,155"
03/31/2015,83.62,85.48,76.17,82.34,"4,615,482"
12/31/2014,73.72,90.87,70.68,83.62,"8,691,557"
09/30/2014,67.87,75.48,65.82,73.72,"4,588,165"
06/30/2014,67.03,72.17,63.95,67.59,"3,931,296"
03/31/2014,64.98,68.34,60.31,67.03,"3,358,634"
12/31/2013,71.89,72.36,59.75,64.98,"3,080,418"
09/30/2013,64.73,73.01,63.31,71.70,"3,958,601"
06/28/2013,73.98,74.33,62.24,64.73,"4,692,968"
03/29/2013,80.82,82.07,70.78,73.98,"7,024,230"
12/31/2012,101.36,102.70,78.33,80.82,"10,991,606"
09/28/2012,92.30,109.37,84.51,101.36,"14,904,582"
06/29/2012,102.46,102.89,77.06,91.03,"13,061,949"
03/30/2012,81.80,122.37,80.45,103.31,"15,066,497"
12/30/2011,83.16,96.11,71.73,81.80,"9,590,251"
09/30/2011,97.18,120.17,74.01,83.83,"15,216,981"
06/30/2011,90.33,124.20,89.52,95.97,"13,319,691"
03/31/2011,94.76,101.21,82.67,90.33,"7,044,830"
12/31/2010,79.92,99.20,74.60,94.36,"7,058,410"
09/30/2010,86.70,100.01,73.79,79.84,"5,412,197"
06/30/2010,82.77,97.27,75.34,86.70,"8,228,440"
03/31/2010,87.72,101.87,79.23,82.42,"9,513,806"
12/31/2009,64.73,88.43,62.54,87.72,"10,943,774"
09/30/2009,57.09,65.79,56.03,64.52,"8,932,783"
06/30/2009,56.47,67.33,52.31,56.72,"17,698,455"
03/31/2009,47.91,59.26,41.45,55.79,"20,055,426"
12/31/2008,64.23,66.40,33.82,47.91,"675,122,647"
09/30/2008,79.83,99.86,61.81,62.99,"12,663,892"
06/30/2008,101.55,135.96,78.98,79.26,"17,733,464"
03/31/2008,148.94,151.48,88.01,101.55,"12,718,462"
12/31/2007,212.69,223.41,125.24,148.94,"9,440,898"
09/28/2007,195.74,218.89,156.27,213.25,"8,761,810"
06/29/2007,184.21,201.87,134.59,168.50,"8,509,744"
03/30/2007,192.79,216.10,128.40,184.21,"10,060,174"
12/29/2006,161.40,193.04,134.59,191.57,"8,184,167"
10/24/2006,161.40,161.64,158.45,159.43,�
